"","agency","year","department","expense_category","budget_code","budget_name","adopted","modified","encumbered","cash_expense","pre_encumbered","post_adjustment","accrued_expense"
"22025","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3691","CEO - Young Men's Initiative - YALP","0","0","0","0","0","0","0"
"22026","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","COMMUNITY CONSULTANT CONTRACTS","3680","BEACONS","0","0","0","0","0","0","0"
"22027","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OVERNIGHT TRVL EXP-SPECIAL","3680","BEACONS","0","0","0","0","0","0","0"
"22028","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OFFICE SERVICES","3680","BEACONS","0","0","0","0","0","0","0"
"22029","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3616","RUNAWAYS","0","0","0","0","0","0","0"
"22030","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3614","YOUTH DEV DELING PROG","0","0","0","0","0","0","0"
"22031","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","DATA PROCESSING EQUIPMENT","3612","ADMIN OTPS","0","0","0","0","0","0","0"
"22032","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","TELECOMMUNICATIONS EQUIPMENT","3612","ADMIN OTPS","0","0","0","0","0","0","0"
"22033","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROMPT PAYMENT INTEREST","3603","COMPASS Expansion","0","0","0","0","0","0","0"
"22034","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3544","SONYC Technical Assistance","0","0","0","0","0","0","0"
"22035","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","TELEPHONE & OTHER COMMUNICATNS","3542","OST MSE AOTPS","0","0","0","0","0","0","0"
"22036","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3535","NYCHA Community Services","0","0","0","0","0","0","0"
"22037","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3190","BEACONS/ACS","0","0","0","0","0","0","0"
"22038","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OVERNIGHT TRVL EXP-SPECIAL","S007","ARRA - ADMIN","0","0","0","0","0","0","0"
"22039","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-SPECIAL","S007","ARRA - ADMIN","0","0","0","0","0","0","0"
"22040","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PURCH DATA PROCESSING EQUIPT","S007","ARRA - ADMIN","0","0","0","0","0","0","0"
"22041","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","DATA PROCESSING SUPPLIES","3800","YAIP-PLUS","0","0","0","0","0","0","0"
"22042","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3731","SYEP - DOE District 75","0","0","0","0","0","0","0"
"22043","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3729","ADVANCE AND EARN-DISCONNECTED YOUTH","0","0","0","0","0","0","0"
"22044","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3721","Year-Round Employment Program","0","0","0","0","0","0","0"
"22045","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3721","Year-Round Employment Program","0","0","0","0","0","0","0"
"22046","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","3717","Summer Express Program-WIA","0","0","0","0","0","0","0"
"22047","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","3711","Summer Youth Employment Program","0","0","0","0","0","0","0"
"22048","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROF SERV CURRIC & PROF DEVEL","3711","Summer Youth Employment Program","0","0","0","0","0","0","0"
"22049","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3711","Summer Youth Employment Program","0","0","0","0","0","0","0"
"22050","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OVERNIGHT TRVL EXP-SPECIAL","3711","Summer Youth Employment Program","0","0","0","0","0","0","0"
"22051","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3711","Summer Youth Employment Program","0","0","0","0","0","0","0"
"22052","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","SECURITY SERVICES","3710","Summer Youth Employment Program","0","0","0","0","0","0","0"
"22053","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","TRAINING CITY EMPLOYEES","3705","WIA AOTPS","0","0","0","0","0","0","0"
"22054","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3700","WIA SYEP","0","0","0","0","0","0","0"
"22055","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","COMMUNITY CONSULTANT CONTRACTS","3698","CEO -  Service  Learning Initiatives","0","0","0","0","0","0","0"
"22056","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3697","CEO  -  Youth Internships","0","0","0","0","0","0","0"
"22057","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","3696","CEO -  Young Adult Literacy","0","0","0","0","0","0","0"
"22058","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3694","CEO - TANF Subsidized Job","0","0","0","0","0","0","0"
"22059","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","COMMUNITY CONSULTANT CONTRACTS","3691","CEO - Young Men's Initiative - YALP","0","0","0","0","0","0","0"
"22060","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PRINTING CONTRACTS","3680","BEACONS","0","0","0","0","0","0","0"
"22061","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES GENERAL","3628","BUS PROGRAM","0","0","0","0","0","0","0"
"22062","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OVERNIGHT TRVL EXP-GENERAL","3612","ADMIN OTPS","0","0","0","0","0","0","0"
"22063","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","DATA PROCESSING SERVICES","3612","ADMIN OTPS","0","0","0","0","0","0","0"
"22064","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","S007","ARRA - ADMIN","0","0","0","0","0","0","0"
"22065","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","BOOKS-OTHER","S007","ARRA - ADMIN","0","0","0","0","0","0","0"
"22066","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","MAINT & REP OF MOTOR VEH EQUIP","4180","BEACONS-FED CD","0","0","0","0","0","0","0"
"22067","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3556","HRA/The Door","0","0","0","0","0","0","0"
"22068","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROMPT PAYMENT INTEREST","4098","EMERGENCY SHELTER GRANT","0","0","0","0","0","0","0"
"22069","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","TELEPHONE & OTHER COMMUNICATNS","3550","COMPASS 2011 RFP","0","0","0","0","0","0","0"
"22070","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3733","SYEP - CUNY","0","0","0","0","0","0","0"
"22071","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","3733","SYEP - CUNY","0","0","0","0","0","0","0"
"22072","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","HOMELESS INDIVIDUAL SERVICES","3728","ADVANCE AND EARN-OEO","0","0","0","0","0","0","0"
"22073","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","TRAINING CITY EMPLOYEES","3542","OST MSE AOTPS","0","0","0","0","0","0","0"
"22074","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3727","P3","0","0","0","0","0","0","0"
"22075","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","FOOD & FORAGE SUPPLIES","3542","OST MSE AOTPS","0","0","0","0","0","0","0"
"22076","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3500","EDGE","0","0","0","0","0","0","0"
"22077","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","3717","Summer Express Program-WIA","0","0","0","0","0","0","0"
"22078","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OVERNIGHT TRVL EXP-SPECIAL","3160","Intergrated County Plan","0","0","0","0","0","0","0"
"22079","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","3711","Summer Youth Employment Program","0","0","0","0","0","0","0"
"22080","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","RENTAL-DATA PROCESSING EQUIP","3150","YOUTHLINE","0","0","0","0","0","0","0"
"22081","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","TRAINING PRGM CITY EMPLOYEES","3705","WIA AOTPS","0","0","0","0","0","0","0"
"22082","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PRINTING SUPPLIES","3125","TAX LEVY ELECT OFF DISCRET","0","0","0","0","0","0","0"
"22083","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OVERNIGHT TRVL EXP-GENERAL","3705","WIA AOTPS","0","0","0","0","0","0","0"
"22084","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","SUPPLIES + MATERIALS - GENERAL","3116","RUNAWAYS","0","0","0","0","0","0","0"
"22085","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","TELEPHONE & OTHER COMMUNICATNS","3705","WIA AOTPS","0","0","0","0","0","0","0"
"22086","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","ADVERTISING","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"22087","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3700","WIA SYEP","0","0","0","0","0","0","0"
"22088","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"22089","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES GENERAL","3698","CEO -  Service  Learning Initiatives","0","0","0","0","0","0","0"
"22090","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","TELEPHONE & OTHER COMMUNICATNS","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"22091","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","3697","CEO  -  Youth Internships","0","0","0","0","0","0","0"
"22092","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","MAINT & REP OF MOTOR VEH EQUIP","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"22093","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","COMMUNITY CONSULTANT CONTRACTS","3693","CEO - Young Men's Initiative","0","0","0","0","0","0","0"
"22094","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROMPT PAYMENT INTEREST","3106","TRANSITIONAL INDPT LIVING","0","0","0","0","0","0","0"
"22095","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3692","YMI - Mentoring","0","0","0","0","0","0","0"
"22096","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3106","TRANSITIONAL INDPT LIVING","0","0","0","0","0","0","0"
"22097","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3690","BEACONS ACS & DYS","0","0","0","0","0","0","0"
"22098","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3104","SARA GRANT-STATE FUNDS","0","0","0","0","0","0","0"
"22099","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","ADVERTISING","3680","BEACONS","0","0","0","0","0","0","0"
"22100","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","TEMPORARY SERVICES","3104","SARA GRANT-STATE FUNDS","0","0","0","0","0","0","0"
"22101","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3614","YOUTH DEV DELING PROG","0","0","0","0","0","0","0"
"22102","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROMPT PAYMENT INTEREST","1998","PRIOR YEAR EXPENSE 1998","0","0","0","0","0","0","0"
"22103","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","COMMUNITY CONSULTANT CONTRACTS","3606","TRANSITIONAL INDPT LIVING","0","0","0","0","0","0","0"
"22104","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","UNSALARIED","5201","Community Development Operations","0","0","0","0","0","0","0"
"22105","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROF SERV CURRIC & PROF DEVEL","3605","RUNAWAY AOTPS","0","0","0","0","0","0","0"
"22106","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","BACKPAY - PRIOR YEARS","5101","Office of Immigrant Affairs","0","0","0","0","0","0","0"
"22107","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","BACKPAY - PRIOR YEARS","5006","Summer Youth Employment","0","0","0","0","0","0","0"
"22108","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","SALARY ADJUSTMENTS LABOR RSRVE","5005","Deputy Commissioner Community Developmen","0","0","0","0","0","0","0"
"22109","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3561","CACFP -  PY SURPLUS REVENUE","0","0","0","0","0","0","0"
"22110","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3559","CSBG - OST","0","0","0","0","0","0","0"
"22111","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","BACKPAY - PRIOR YEARS","5004","ADULT LITERACY","0","0","0","0","0","0","0"
"22112","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","BOOKS-OTHER","3542","OST MSE AOTPS","0","0","0","0","0","0","0"
"22113","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","AUTOMOTIVE SUPPLIES & MATERIAL","3542","OST MSE AOTPS","0","0","0","0","0","0","0"
"22114","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","TRAINING CITY EMPLOYEES","3185","TAX LEVY/INITIATIVES","0","0","0","0","0","0","0"
"22115","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OVERNIGHT TRVL EXP-GENERAL","3160","Intergrated County Plan","0","0","0","0","0","0","0"
"22116","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PAYROLL REFUND","3155","ADMINISTRATION","0","0","0","0","0","0","0"
"22117","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3126","Safe Places to Learn & Play","0","0","0","0","0","0","0"
"22118","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES GENERAL","3116","RUNAWAYS","0","0","0","0","0","0","0"
"22119","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3114","YDDP","0","0","0","0","0","0","0"
"22120","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","TRANSPORTATION EXPENDITURES","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"22121","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","4099","EMERGENCY SHELTER GRANT","0","0","0","0","0","0","0"
"22122","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3733","SYEP - CUNY","0","0","0","0","0","0","0"
"22123","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","3726","ADVANCE AND EARN-YMI","0","0","0","0","0","0","0"
"22124","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","3716","SYEP - Private Grants","0","0","0","0","0","0","0"
"22125","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","COMMUNITY CONSULTANT CONTRACTS","3711","Summer Youth Employment Program","0","0","0","0","0","0","0"
"22126","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES GENERAL","3711","Summer Youth Employment Program","0","0","0","0","0","0","0"
"22127","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","RENTALS OF MISC.EQUIP","3710","Summer Youth Employment Program","0","0","0","0","0","0","0"
"22128","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","SUPPLIES + MATERIALS - GENERAL","3710","Summer Youth Employment Program","0","0","0","0","0","0","0"
"22129","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROF SERV DIRECT EDUC SERV","3706","WIA Incentive Grant","0","0","0","0","0","0","0"
"22130","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","TEMPORARY SERVICES","3705","WIA AOTPS","0","0","0","0","0","0","0"
"22131","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","DATA PROCESSING EQUIPMENT","3705","WIA AOTPS","0","0","0","0","0","0","0"
"22132","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3705","WIA AOTPS","3000","0","0","0","0","0","0"
"22133","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3704","REWARDING YOUTH ACHIEVEMENT","0","0","0","0","0","0","0"
"22134","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3700","WIA SYEP","0","0","0","0","0","0","0"
"22135","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PAYMENTS TO WILDCAT SERV CORP","3698","CEO -  Service  Learning Initiatives","0","0","0","0","0","0","0"
"22136","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OFFICE SERVICES","3698","CEO -  Service  Learning Initiatives","0","0","0","0","0","0","0"
"22137","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3697","CEO  -  Youth Internships","0","0","0","0","0","0","0"
"22138","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROF SERV CURRIC & PROF DEVEL","3697","CEO  -  Youth Internships","0","0","0","0","0","0","0"
"22139","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3693","CEO - Young Men's Initiative","0","0","0","0","0","0","0"
"22140","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","TRAINING PRGM CITY EMPLOYEES","3692","YMI - Mentoring","0","0","0","0","0","0","0"
"22141","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3685","TAX LEVY INITIATIVES","0","0","0","0","0","0","0"
"22142","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OVERNIGHT TRVL EXP-GENERAL","3680","BEACONS","0","0","0","0","0","0","0"
"22143","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3614","YOUTH DEV DELING PROG","0","0","0","0","0","0","0"
"22144","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","RENTALS OF MISC.EQUIP","3557","Youth Program at NYCHA","0","0","0","0","0","0","0"
"22145","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OVERNIGHT TRVL EXP-GENERAL","3550","COMPASS 2011 RFP","0","0","0","0","0","0","0"
"22146","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PROF SERV DIRECT EDUC SERV","3542","OST MSE AOTPS","0","0","0","0","0","0","0"
"22147","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EQUIPMENT GENERAL","3542","OST MSE AOTPS","0","0","0","0","0","0","0"
"22148","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3500","EDGE","0","0","0","0","0","0","0"
"22149","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES GENERAL","3185","TAX LEVY/INITIATIVES","0","0","0","0","0","0","0"
"22150","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3116","RUNAWAYS","0","0","0","0","0","0","0"
"22151","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","MOTOR VEHICLE FUEL","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"22152","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","3106","TRANSITIONAL INDPT LIVING","0","0","0","0","0","0","0"
"22153","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","PRINTING CONTRACTS","3075","YOUTH ABILITIES PROJECT","0","0","0","0","0","0","0"
"22154","Department of Youth and Community Development","2023","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","1998","PRIOR YEAR EXPENSE 1998","0","0","0","0","0","0","0"
"22155","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","PART-TIME POSITIONS","5201","Community Development Operations","0","0","0","0","0","0","0"
"22156","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","PY SHIFT DIFFERENTIAL","5006","Summer Youth Employment","0","0","0","0","0","0","0"
"22157","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","SUPPER MONEY","5005","Deputy Commissioner Community Developmen","0","0","0","8.25","0","0","0"
"22158","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","PY ASSIGNMENT DIFFERENTIAL","5001","Out of School Youth/CUV","0","0","0","0","0","0","0"
"22159","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","HOLIDAY PAY","3721","Year-Round Employment Program","0","0","0","0","0","0","0"
"22160","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","LONGEVITY DIFFERENTIAL","3547","SONYC","0","0","0","2461.01","0","0","0"
"22161","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","HOLIDAY PAY","3156","OST SUPPORT STAFF","0","0","0","0","0","0","0"
"22162","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","OVERTIME","3150","YOUTHLINE","0","0","0","0","0","0","0"
"22163","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","PY LONGEVITY DIFFERENTIAL","3006","Program Operations","0","0","0","-207.96","0","0","0"
"22164","Department of Youth and Community Development","2023","PROGRAM SERVICES - PS","SALARY ADJUSTMENTS LABOR RSRVE","2002","WIA-EEO","0","0","0","27460.97","0","0","0"
"22165","Department of Youth and Community Development","2023","YOUTH WORKFORCE AND CAREER TRAINING OTPS","PAY FOR SURETY BOND/INSUR PREM","CR21","WLG-CCC","0","0","0","0","0","0","0"
"22166","Department of Youth and Community Development","2023","YOUTH WORKFORCE AND CAREER TRAINING OTPS","PROF SERV OTHER","CR07","CUNY ARP","0","0","0","0","0","0","0"
"22167","Department of Youth and Community Development","2023","YOUTH WORKFORCE AND CAREER TRAINING OTPS","PROF SERV OTHER","1034","Summer Youth Employment Program Plus","0","0","0","0","0","0","0"
"22168","Department of Youth and Community Development","2023","YOUTH WORKFORCE AND CAREER TRAINING OTPS","JTPA-FRINGES","1018","SYEP Ladders for Leaders","0","0","0","0","0","0","0"
"22169","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","W005","WTC DISASTER RELATED EXPENSES","0","0","0","0","0","0","0"
"22170","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","PROMPT PAYMENT INTEREST","9955","LITERACY AOTPS","0","0","0","0","0","0","0"
"22171","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","PROF SERV COMPUTER SERVICES","9922","DEFERRED ACTION FOR CHILDHOOD ARRIVALS","0","0","0","0","0","0","0"
"22172","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","9916","Toyota Family Literacy Program","0","0","0","0","0","0","0"
"22173","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","JTPA-WAGES","9914","ADULT LITERACY EXPANSION","0","0","0","0","0","0","0"
"22174","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","DATA PROCESSING SUPPLIES","9905","CSBG","0","0","0","0","0","0","0"
"22175","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","OFFICE SERVICES","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"22176","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","MAINTENANCE SUPPLIES","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"22177","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","RENTALS OF MISC.EQUIP","9895","Family Develop.Assn NY","0","0","0","0","0","0","0"
"22178","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","PROF SERV COMPUTER SERVICES","9807","ADOLESCENT DATING VIOLENCE GRANT","0","0","0","0","0","0","0"
"22179","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","TRAINING PRGM CITY EMPLOYEES","9805","COMMUNITY ACTION","0","0","0","0","0","0","0"
"22180","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","OFFICE EQUIPMENT","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"22181","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","PROF SERV DIRECT EDUC SERV","9803","FDC - IC DHS Training","0","0","0","0","0","0","0"
"22182","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","OFFICE FURITURE","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
"22183","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","6915","Workforce Investment Act (WIA)","0","0","0","0","0","0","0"
"22184","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","PROMPT PAYMENT INTEREST","4199","AOTPS-IC","0","0","0","0","0","0","0"
"22185","Department of Youth and Community Development","2023","COMMUNITY DEVELOPMENT OTPS","CLEANING SERVICES","4199","AOTPS-IC","0","0","0","0","0","0","0"
