"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"4701","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2019","2019","2450534","2450534","-317881.36","Billed Revenue"
"4702","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2019","0","4200000","-319112.16","Billed Revenue"
"4703","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2020","0","4200000","-319112.16","Billed Revenue"
"4704","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2020","0","4200000","-319112.16","Billed Revenue"
"4705","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2019","0","4200000","-323944.06","Billed Revenue"
"4706","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2019","0","4200000","-323944.06","Collected Unearned Revenue Roll"
"4707","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2020","0","4200000","-326067.57","Billed Revenue"
"4708","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2020","5513702","5513702","-329900.04","Billed Revenue"
"4709","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","16541104","16541104","-332034.37","Billed Revenue"
"4710","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2021","28576101","35732269","-341956.72","Billed Revenue"
"4711","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","5513702","5513702","-346622.12","Billed Revenue"
"4712","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2019","0","4200000","-347223.71","Billed Revenue"
"4713","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2019","0","4200000","-347223.71","Collected Unearned Revenue Roll"
"4714","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2019","0","4200000","-358861.88","Billed Revenue"
"4715","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2019","0","4200000","-358861.88","Collected Unearned Revenue Roll"
"4716","Department of Youth and Community Development","State Grants and Contracts-Categorical","RUNAWAY & HOMELESS YOUTH","General Fund","STATE","YOUTH","2019","2021","772765","904143","-369585","Billed Revenue"
"4717","Department of Youth and Community Development","State Grants and Contracts-Categorical","RUNAWAY & HOMELESS YOUTH","General Fund","STATE","YOUTH","2019","2020","772765","904143","-369585","Unbilled Revenue"
"4718","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2019","0","4200000","-372265.69","Collected Unearned Revenue Roll"
"4719","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2019","0","4200000","-372265.69","Billed Revenue"
"4720","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","16541104","16541104","-374029.54","Billed Revenue"
"4721","Department of Youth and Community Development","State Grants and Contracts-Categorical","RUNAWAY & HOMELESS YOUTH","General Fund","STATE","YOUTH","2019","2019","772765","904143","-383765.21","Billed Revenue"
"4722","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2019","0","4200000","-386978.06","Collected Unearned Revenue Roll"
"4723","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2019","0","4200000","-386978.06","Billed Revenue"
"4724","Department of Youth and Community Development","State Grants and Contracts-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2019","2019","571614","1081980","-391476.83","Billed Revenue"
"4725","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2019","0","0","-393315.64","Collected Unearned Revenue Roll"
"4726","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2019","0","4200000","-398056.78","Collected Unearned Revenue Roll"
"4727","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2019","0","4200000","-398056.78","Billed Revenue"
"4728","Department of Youth and Community Development","State Grants and Contracts-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2019","2019","571614","1081980","-401213.17","Billed Revenue"
"4729","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2020","28576101","35732269","-409074.08","Billed Revenue"
"4730","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2020","28576101","35732269","-409074.08","Collected Unearned Revenue Roll"
"4731","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","16541104","16541104","-429888.94","Billed Revenue"
"4732","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2019","2020","2450534","2450534","-432058.65","Billed Revenue"
"4733","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","16541104","16541104","-442321.06","Billed Revenue"
"4734","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","16541104","16541104","-462413.35","Billed Revenue"
"4735","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","28576101","35732269","-488014.75","Collected Unearned Revenue Roll"
"4736","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","5513702","5513702","-495479.88","Billed Revenue"
"4737","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2019","2020","0","4200000","-524173.7","Accounts Left In Old Year"
"4738","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","5513702","5513702","-530854.07","Billed Revenue"
"4739","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","16541104","16541104","-559440.71","Billed Revenue"
"4740","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","16541104","16541104","-574562.99","Billed Revenue"
"4741","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2021","28576101","35732269","-624652.44","Collected Revenue"
"4742","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2020","28576101","35732269","-624652.44","Billed Revenue"
"4743","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2021","28576101","35732269","-624652.44","Billed Revenue"
"4744","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","5513702","5513702","-756158.16","Billed Revenue"
"4745","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2020","28576101","35732269","-815001","Collected Unearned Revenue Roll"
"4746","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","16541104","16541104","-827048.15","Billed Revenue"
"4747","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","16541104","16541104","-833210.89","Billed Revenue"
"4748","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","28576101","34386777","-877761","Billed Revenue"
"4749","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","16541104","16541104","-926250.59","Billed Revenue"
"4750","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2019","2020","0","1848657","-940750","Billed Revenue"
"4751","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","16541104","16541104","-944017.27","Billed Revenue"
"4752","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2020","28576101","35732269","-966609.16","Unbilled Revenue"
"4753","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","5513702","5513702","-993486.69","Billed Revenue"
"4754","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","28576101","35732269","-1003967.3","Collected Unearned Revenue Roll"
"4755","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","28576101","35732269","-1003967.3","Billed Revenue"
"4756","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2019","2019","0","1848657","-1075500","Billed Revenue"
"4757","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2019","2019","0","1848657","-1075500","Collected Unearned Revenue Roll"
"4758","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2019","2019","0","0","-1085500","Collected Unearned Revenue Roll"
"4759","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","16541104","16541104","-1325950.18","Billed Revenue"
"4760","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2019","16541104","16541104","-1351643.61","Billed Revenue"
"4761","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2020","16541104","16541104","-1377932.83","Billed Revenue"
"4762","Department of Youth and Community Development","State Grants and Contracts-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2019","2021","3930745","4968487","-1466392","Billed Revenue"
"4763","Department of Youth and Community Development","State Grants and Contracts-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2019","2020","3930745","4968487","-1466392","Unbilled Revenue"
"4764","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","28576101","35732269","-1576982.25","Billed Revenue"
"4765","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","28576101","35732269","-1576982.25","Collected Unearned Revenue Roll"
"4766","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2023","28576101","35732269","-1933889.98","Unbilled Revenue"
"4767","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2019","2020","16541104","16541104","-1975732.1","Billed Revenue"
"4768","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","0","20780987","-3117148","Billed Revenue"
"4769","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","0","20780987","-3117148","Collected Unearned Revenue Roll"
"4770","Department of Youth and Community Development","State Grants and Contracts-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2019","2019","3930745","4968487","-3221328.48","Billed Revenue"
"4771","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","28576101","34386777","-3264497.14","Billed Revenue"
"4772","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2020","28576101","35732269","-3877522.28","Billed Revenue"
"4773","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2020","28576101","35732269","-4286596.36","Unbilled Revenue"
"4774","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","28576101","35732269","-6624749.75","Billed Revenue"
"4775","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","28576101","35732269","-6624749.75","Collected Unearned Revenue Roll"
"4776","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","28576101","35732269","-6934152.92","Collected Unearned Revenue Roll"
"4777","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","28576101","35732269","-6934152.92","Billed Revenue"
"4778","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","28576101","35732269","-7154257.7","Billed Revenue"
"4779","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","28576101","35732269","-7154257.7","Collected Unearned Revenue Roll"
"4780","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","28576101","34386777","-7678913.25","Collected Unearned Revenue Roll"
"4781","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","0","20780987","-17663839","Billed Revenue"
"4782","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2019","2019","0","20780987","-17663839","Collected Unearned Revenue Roll"
"4783","Department of Youth and Community Development","CHARGES FOR SERVICES","EDUCATION SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2020","2020","141901997","133701997","50187823.5","Collected Revenue"
"4784","Department of Youth and Community Development","CHARGES FOR SERVICES","EDUCATION SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2020","2020","141901997","133701997","30619682.7","Collected Revenue"
"4785","Department of Youth and Community Development","CHARGES FOR SERVICES","EDUCATION SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2020","2020","141901997","133701997","23691376.73","Collected Revenue"
"4786","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2023","0","22863417","22863417","Billed Revenue"
"4787","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2022","0","22863417","22863417","Accounts Left In Old Year"
"4788","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2020","0","22863417","22863417","Unbilled Revenue"
"4789","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2023","0","22863417","19524753","Collected Revenue"
"4790","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2020","0","22863417","19524753","Collected Unearned Revenue Roll"
"4791","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2020","0","22863417","19433905","Collected Unearned Revenue Roll"
"4792","Department of Youth and Community Development","CHARGES FOR SERVICES","EDUCATION SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2020","2020","141901997","133701997","16467245.6","Collected Revenue"
"4793","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2021","30476101","35497855","15692379.29","Collected Revenue"
"4794","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2020","30476101","35497855","15692379.29","Billed Revenue"
"4795","Department of Youth and Community Development","CHARGES FOR SERVICES","EDUCATION SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2020","2020","141901997","133701997","12720724.41","Collected Revenue"
"4796","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2021","30476101","34822264","8351204","Collected Unearned Revenue Roll"
"4797","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2020","30476101","34822264","8351204","Collected Unearned Revenue Roll"
"4798","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2020","30476101","34402929","8158228","Collected Unearned Revenue Roll"
"4799","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2020","30476101","34822264","7726551.56","Collected Revenue"
"4800","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2021","30476101","34822264","7726551.56","Billed Revenue"
"4801","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2021","30476101","34822264","7726551.56","Collected Revenue"
"4802","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2020","30476101","34822264","7726551.56","Billed Revenue"
"4803","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2020","30476101","35497855","6378447","Unbilled Revenue"
"4804","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2021","30476101","35497855","5424303","Billed Revenue"
"4805","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2020","2020","14594951","15349951","5004326.81","Collected Revenue"
"4806","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2021","30476101","35497855","4703739.79","Collected Revenue"
"4807","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2020","30476101","34402929","3938749","Collected Revenue"
"4808","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2020","30476101","34402929","3938749","Billed Revenue"
"4809","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2020","0","22863417","3429512","Collected Unearned Revenue Roll"
"4810","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2020","2023","0","22863417","3338664","Collected Revenue"
"4811","Department of Youth and Community Development","State Grants and Contracts-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2020","2021","3930745","4968488","2912055","Collected Revenue"
"4812","Department of Youth and Community Development","State Grants and Contracts-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2020","2020","3930745","4968488","2912055","Billed Revenue"
"4813","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2020","2020","14594951","15349951","2909280.91","Collected Revenue"
"4814","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2020","2020","14594951","15349951","2672237.66","Collected Revenue"
"4815","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2020","2020","0","3910000","2662478.78","Billed Revenue"
"4816","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2020","2020","14594951","15349951","2000000","Collected Revenue"
"4817","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2020","2020","0","1861375","1873974","Collected Revenue"
"4818","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2020","2020","0","1861375","1873974","Billed Revenue"
"4819","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2020","2020","0","1861375","1873974","Collected Unearned Revenue Roll"
"4820","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2021","16541104","16541104","1603348.82","Collected Revenue"
"4821","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","1603348.82","Billed Revenue"
"4822","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","1567560.23","Collected Revenue"
"4823","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","1567560.23","Billed Revenue"
"4824","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","1557217.41","Collected Revenue"
"4825","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2020","2020","16541104","16541104","1557217.41","Billed Revenue"
"4826","Department of Youth and Community Development","State Grants and Contracts-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2020","2022","3930745","4968488","1466393","Collected Revenue"
"4827","Department of Youth and Community Development","State Grants and Contracts-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2020","2021","3930745","4968488","1466393","Billed Revenue"
"4828","Department of Youth and Community Development","State Grants and Contracts-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2020","2020","3930745","4968488","1466393","Unbilled Revenue"
